customer_id,order_id,order_date,category,channel,units,gross_sales,discount_rate,net_sales,returned
C00001,C00001-O002,2025-10-11,Fashion,Online,3,78.59,0.4296,44.82,0
C00001,C00001-O003,2025-10-16,Beauty,Online,2,84.22,0.3585,54.03,0
C00001,C00001-O001,2025-10-23,Electronics,Online,4,53.89,0.65,18.86,0
C00001,C00001-O004,2025-10-24,Grocery,Online,2,109.82,0.5406,50.46,0
C00001,C00001-O005,2025-10-31,Beauty,Online,2,100.08,0.2876,71.3,0
C00001,C00001-O006,2025-12-04,Home,Online,3,88.34,0.3894,53.94,0
C00001,C00001-O007,2026-01-10,Beauty,Online,3,67.83,0.3284,45.55,0
C00002,C00002-O004,2025-04-03,Beauty,Online,4,563.59,0.2598,417.19,0
C00002,C00002-O001,2025-04-04,Home,Store,2,308.94,0.3821,190.9,0
C00002,C00002-O007,2025-04-16,Home,Online,4,265.16,0.213,208.67,0
C00002,C00002-O009,2025-04-18,Grocery,Store,2,320.81,0.119,282.62,0
C00002,C00002-O008,2025-04-28,Grocery,Store,3,147.8,0.2417,112.08,0
C00002,C00002-O002,2025-05-01,Fashion,Store,6,201.97,0.1806,165.49,0
C00002,C00002-O003,2025-05-10,Home,Store,1,116.97,0.2004,93.53,0
C00002,C00002-O005,2025-05-14,Beauty,Store,3,234.87,0.2898,166.8,0
C00002,C00002-O006,2025-06-17,Fashion,Store,1,145.3,0.1045,130.11,0
C00002,C00002-O010,2025-08-18,Electronics,Store,1,229.43,0.0555,216.71,0
C00003,C00003-O002,2025-03-27,Beauty,Online,1,59.73,0.4054,35.51,0
C00003,C00003-O003,2025-04-08,Grocery,Store,1,62.59,0.2707,45.65,0
C00003,C00003-O001,2025-04-23,Beauty,Store,4,56.08,0.187,45.6,0
C00003,C00003-O004,2025-07-27,Home,Store,1,64.83,0.3477,42.29,0
C00004,C00004-O001,2025-08-30,Home,Online,6,74.7,0.5011,37.27,1
C00004,C00004-O007,2025-09-18,Fashion,Online,3,83.02,0.458,45.0,0
C00004,C00004-O006,2025-09-28,Fashion,Store,4,86.13,0.4462,47.7,1
C00004,C00004-O002,2025-10-08,Sports,Online,1,86.16,0.5419,39.47,0
C00004,C00004-O004,2025-10-24,Home,Online,3,105.8,0.65,37.03,0
C00004,C00004-O005,2025-10-30,Fashion,Online,2,81.42,0.4208,47.16,1
