customer_id,latent_persona,tenure_months,signup_date,support_ticket_bias,order_count,total_spend,avg_order_value,avg_discount_rate,return_rate,online_order_share,unique_categories,active_months,total_units,last_order_date,first_order_date,recency_days,purchase_frequency_per_month,revenue_per_month,active_month_ratio,avg_units_per_order,support_tickets,cluster_id,segment_name
C00001,Discount-Led,8,2025-07-26,2,7,338.96,48.4229,0.4263,0.0,1.0,5,3,19,2026-01-10,2025-10-11,75,0.875,42.37,0.375,2.7143,2,2,Discount-Driven
C00002,High-Value At Risk,26,2024-01-26,0,10,1984.1,198.41,0.2046,0.0,0.2,5,4,27,2025-08-18,2025-04-03,220,0.3846,76.3115,0.1538,2.7,2,4,High-Value At Risk
C00003,Dormant,15,2024-12-25,1,4,169.05,42.2625,0.3027,0.0,0.25,3,3,7,2025-07-27,2025-03-27,242,0.2667,11.27,0.2,1.75,4,1,Dormant
C00004,Discount-Led,8,2025-07-26,0,9,384.16,42.6844,0.4557,0.3333,0.7778,5,5,25,2026-01-06,2025-08-30,79,1.125,48.02,0.625,2.7778,0,3,Champions
C00005,Champions,22,2024-05-27,2,21,3409.35,162.35,0.1297,0.0476,0.5238,5,9,53,2026-03-14,2025-06-30,12,0.9545,154.9705,0.4091,2.5238,2,0,Growth Loyalists
C00006,Dormant,13,2025-02-24,1,3,147.59,49.1967,0.2255,0.0,0.6667,2,2,8,2025-05-23,2025-04-05,307,0.2308,11.3531,0.1538,2.6667,2,1,Dormant
C00007,Discount-Led,10,2025-05-26,0,6,279.87,46.645,0.4215,0.3333,0.6667,4,4,15,2026-02-22,2025-08-02,32,0.6,27.987,0.4,2.5,2,2,Discount-Driven
C00008,Discount-Led,16,2024-11-25,1,6,269.75,44.9583,0.4648,0.1667,1.0,4,5,17,2026-01-11,2025-05-15,74,0.375,16.8594,0.3125,2.8333,3,2,Discount-Driven
C00009,Champions,33,2023-06-27,0,18,2671.64,148.4244,0.0947,0.1111,0.5556,5,8,41,2026-03-17,2025-07-06,9,0.5455,80.9588,0.2424,2.2778,1,0,Growth Loyalists
C00010,High-Value At Risk,13,2025-02-24,3,4,510.34,127.585,0.1434,0.0,0.25,3,4,11,2025-11-20,2025-04-29,126,0.3077,39.2569,0.3077,2.75,5,4,High-Value At Risk
